"Отметка времени","Я:","Возраст:","Есть ли у Вас комнатные растения?","Хотели бы Вы купить комнатное растение?","Хочу купить растение, почему?","Не хочу покупать растение, почему?","А может кактус? Прикольно выглядит, ухаживать не нужно","Сколько бы Вы максимум потратили на растение?"
"2018/03/29 5:38:26 PM GMT+3","Женщина","18-23","Нет","Нет","","Не интересно","",""
"2018/03/29 5:38:36 PM GMT+3","Мужчина","18-23","Да","Нет","","Их и так много","",""
"2018/03/29 5:39:11 PM GMT+3","Мужчина","18-23","Нет","Нет","","Не интересно","",""
"2018/03/29 5:39:56 PM GMT+3","Мужчина","16-17","Нет","Да","Хочу украсить свой интерьер, не хватает зелени","","","900-1300"
"2018/03/29 5:40:17 PM GMT+3","Женщина","18-23","Да","Да","Поставлю себе на стол, буду любоваться и поливать","","","200-400"
"2018/03/29 5:41:36 PM GMT+3","Женщина","30-37","Да","Да","мирт и бонсай","","","400-600"
"2018/03/29 5:41:51 PM GMT+3","Женщина","18-23","Да","Нет","","Не интересно","",""
"2018/03/29 5:42:56 PM GMT+3","Мужчина","18-23","Да","Да","Хочу украсить свой интерьер, не хватает зелени","","","900-1300"
"2018/03/29 5:44:17 PM GMT+3","Женщина","16-17","Нет","Нет","","Надо ухаживать","Купил бы","400-600"
"2018/03/29 5:44:36 PM GMT+3","Мужчина","18-23","Нет","Да","хочу что-то необычное","","","400-600"
"2018/03/29 5:45:36 PM GMT+3","Мужчина","18-23","Нет","Нет","","Надо ухаживать","Нет",""
"2018/03/29 5:45:51 PM GMT+3","Женщина","18-23","Да","Нет","","Не интересно","",""
"2018/03/29 5:47:53 PM GMT+3","Мужчина","18-23","Нет","Нет","","Надо ухаживать","Купил бы","2000+"
"2018/03/29 5:48:00 PM GMT+3","Женщина","18-23","Да","Нет","","Их и так много","",""
"2018/03/29 5:49:23 PM GMT+3","Мужчина","18-23","Нет","Нет","","Жалко денег","","200-400"
"2018/03/29 5:49:37 PM GMT+3","Мужчина","16-17","Нет","Нет","","Не интересно","",""
"2018/03/29 5:50:48 PM GMT+3","Мужчина","18-23","Нет","Да","Поставлю себе на стол, буду любоваться и поливать","","","200-400"
"2018/03/29 5:51:31 PM GMT+3","Женщина","16-17","Нет","Да","Поставлю себе на стол, буду любоваться и поливать","","","600-900"
"2018/03/29 5:52:00 PM GMT+3","Мужчина","18-23","Нет","Нет","","Не интересно","",""
"2018/03/29 5:52:11 PM GMT+3","Мужчина","18-23","Нет","Нет","","Не интересно","",""
"2018/03/29 5:53:22 PM GMT+3","Мужчина","18-23","Нет","Да","Поставлю себе на стол, буду любоваться и поливать","","","400-600"
"2018/03/29 5:54:41 PM GMT+3","Женщина","38-45","Да","Нет","","Не интересно","",""
"2018/03/29 5:54:55 PM GMT+3","Мужчина","18-23","Нет","Да","Хочу украсить свой интерьер, не хватает зелени","","","200-400"
"2018/03/29 5:58:59 PM GMT+3","Мужчина","18-23","Нет","Нет","","Не интересно","",""
"2018/03/29 5:59:03 PM GMT+3","Женщина","16-17","Нет","Да","Поставлю себе на стол, буду любоваться и поливать","","","600-900"
"2018/03/29 5:59:31 PM GMT+3","Мужчина","18-23","Да","Нет","","Их и так много","",""
"2018/03/29 6:01:14 PM GMT+3","Мужчина","18-23","Нет","Да","Поставлю себе на стол, буду любоваться и поливать","","","200-400"
"2018/03/29 6:02:55 PM GMT+3","Мужчина","18-23","Нет","Нет","","все причины кроме последней","","200-400"
"2018/03/29 6:02:56 PM GMT+3","Мужчина","30-37","Нет","Нет","","Надо ухаживать","Нет",""
"2018/03/29 6:03:09 PM GMT+3","Женщина","18-23","Да","Нет","","Их и так много","",""
"2018/03/29 6:03:47 PM GMT+3","Женщина","18-23","Нет","Да","Хочу украсить свой интерьер, не хватает зелени","","","1300-1600"
"2018/03/29 6:04:42 PM GMT+3","Мужчина","18-23","Нет","Нет","","Не интересно","",""
"2018/03/29 6:04:51 PM GMT+3","Женщина","18-23","Да","Да","Поставлю себе на стол, буду любоваться и поливать","","","600-900"
"2018/03/29 6:09:08 PM GMT+3","Женщина","18-23","Нет","Да","Хочу украсить свой интерьер, не хватает зелени","","","600-900"
"2018/03/29 6:11:39 PM GMT+3","Мужчина","18-23","Нет","Нет","","Не интересно","",""
"2018/03/29 6:12:04 PM GMT+3","Мужчина","18-23","Нет","Да","Хочу украсить свой интерьер, не хватает зелени","","","600-900"
"2018/03/29 6:16:20 PM GMT+3","Мужчина","18-23","Нет","Нет","","Надо ухаживать","Нет",""
"2018/03/29 6:21:32 PM GMT+3","Мужчина","18-23","Нет","Нет","","Их и так много","",""
